,lat,long,trip_count
0,40.7467,-73.8916,20
1,40.7907,-73.9538,37
2,40.7338,-73.8691,14
3,40.8053,-73.9391,51
4,40.7351,-73.8743,38
5,40.77,-73.9177,56
6,40.7701,-73.9178,21
7,40.6847,-73.9778,53
8,40.7897,-73.9524,21
9,40.734,-73.871,57
10,40.7213,-73.8444,23
11,40.743,-73.9189,33
12,40.7024,-73.9867,18
13,40.6838,-73.9761,17
14,40.7213,-73.8442,45
15,40.7305,-73.8619,25
16,40.7468,-73.8909,19
17,40.7893,-73.9548,25
18,40.7465,-73.8909,33
19,40.7336,-73.8698,14
20,40.8049,-73.9388,15
21,40.7667,-73.9217,15
22,40.734,-73.8709,69
23,40.7591,-73.9189,18
24,40.8055,-73.9392,61
25,40.7304,-73.862,44
26,40.6925,-73.9911,14
27,40.8056,-73.939,16
28,40.8055,-73.9619,17
29,40.7214,-73.8443,142
30,40.7466,-73.8914,21
31,40.7025,-73.9869,39
32,40.7339,-73.8708,20
33,40.7024,-73.9868,57
34,40.77,-73.9178,42
35,40.7898,-73.9523,69
36,40.7908,-73.9537,38
37,40.718,-73.9576,23
38,40.7213,-73.8443,151
39,40.8046,-73.9553,17
40,40.841,-73.94,14
41,40.8056,-73.9392,30
42,40.7469,-73.891,38
43,40.7458,-73.9035,30
44,40.6916,-73.9873,20
45,40.7596,-73.8304,23
46,40.7618,-73.9255,17
47,40.8056,-73.9619,14
48,40.7024,-73.987,22
49,40.7617,-73.9253,27
50,40.7458,-73.9034,75
51,40.7597,-73.8299,14
52,40.7137,-73.8302,53
53,40.7004,-73.8076,18
54,40.8407,-73.9402,19
55,40.7214,-73.8444,97
56,40.7899,-73.9522,25
57,40.8056,-73.9389,14
58,40.7454,-73.9035,23
59,40.7466,-73.8915,32
60,40.7892,-73.9548,20
61,40.734,-73.8712,15
62,40.7458,-73.9033,43
63,40.7617,-73.9254,38
64,40.7454,-73.9034,27
65,40.6937,-73.9905,18
66,40.8053,-73.9392,55
67,40.8057,-73.939,14
68,40.7179,-73.9576,63
69,40.7003,-73.8076,17
70,40.8053,-73.9393,30
71,40.7469,-73.8911,22
72,40.7351,-73.8742,53
73,40.7214,-73.8442,30
74,40.6804,-73.9497,15
75,40.7004,-73.8075,21
76,40.6895,-73.9925,65
77,40.6896,-73.9924,22
78,40.7666,-73.9213,27
79,40.8055,-73.9391,42
80,40.805,-73.9388,18
81,40.7666,-73.9215,22
82,40.734,-73.8708,28
83,40.7566,-73.921,13
84,40.6919,-73.9874,13
85,40.7215,-73.8446,16
86,40.7024,-73.9869,47
87,40.7752,-73.912,18
88,40.8108,-73.9528,16
89,40.7137,-73.83,31
90,40.8054,-73.9392,51
91,40.7667,-73.9214,34
92,40.7328,-73.8637,15
93,40.6804,-73.9498,15
94,40.7467,-73.8915,39
95,40.7218,-73.958,16
96,40.8053,-73.939,22
97,40.7453,-73.9035,14
98,40.6847,-73.9779,15
99,40.79,-73.9522,15
100,40.8108,-73.9529,14
101,40.6848,-73.9779,21
102,40.7005,-73.8077,13
103,40.6913,-73.9874,15
104,40.7466,-73.891,19
105,40.5873,-73.9538,13
106,40.7003,-73.8075,19
107,40.718,-73.9575,17
108,40.7329,-73.8639,23
109,40.7595,-73.8303,18
110,40.6899,-73.9923,15
111,40.8052,-73.9391,39
112,40.8052,-73.939,19
113,40.8052,-73.9548,13
114,40.6846,-73.9777,23
115,40.7898,-73.9522,24
116,40.6895,-73.9924,22
117,40.7211,-73.8442,15
118,40.8045,-73.9376,14
119,40.8052,-73.9392,32
120,40.7595,-73.8304,21
121,40.7004,-73.8077,23
122,40.8054,-73.9393,26
123,40.7465,-73.891,13
124,40.6896,-73.9925,31
125,40.7304,-73.8621,56
126,40.7897,-73.9523,15
127,40.6839,-73.9788,38
128,40.77,-73.9175,29
129,40.8055,-73.9393,16
130,40.6925,-73.991,17
131,40.747,-73.8909,13
132,40.7457,-73.9033,21
133,40.7457,-73.9035,18
134,40.6685,-73.9802,16
135,40.7137,-73.8299,50
136,40.7591,-73.9188,13
137,40.7327,-73.8637,13
138,40.8051,-73.9391,28
139,40.8406,-73.9403,28
140,40.7898,-73.9524,19
141,40.734,-73.8711,39
142,40.7666,-73.9214,42
143,40.7891,-73.9549,15
144,40.6894,-73.9925,36
145,40.7024,-73.9895,16
146,40.7212,-73.8441,24
147,40.7468,-73.891,17
148,40.7469,-73.8909,24
149,40.7457,-73.9034,31
150,40.8054,-73.9391,43
151,40.7023,-73.9867,17
152,40.7589,-73.9189,23
153,40.8043,-73.9555,15
154,40.7211,-73.8441,37
155,40.7006,-73.8077,13
156,40.6936,-73.9905,17
157,40.6917,-73.9873,14
158,40.7618,-73.9253,19
159,40.684,-73.976,15
160,40.7618,-73.9254,47
161,40.808,-73.9454,18
