,lat,long,taxi_type,trip_count
0,40.7741,-73.873,y,402
1,40.7741,-73.8731,y,344
2,40.7738,-73.8709,y,317
3,40.7512,-73.9941,y,310
4,40.7737,-73.8708,y,309
5,40.6454,-73.7767,y,271
6,40.7737,-73.8709,y,261
7,40.774,-73.873,y,259
8,40.7511,-73.9941,y,255
9,40.7742,-73.873,y,231
10,40.6447,-73.7819,y,228
11,40.6453,-73.7767,y,224
12,40.7741,-73.8729,y,210
13,40.6447,-73.782,y,180
14,40.7742,-73.8729,y,176
15,40.7511,-73.9942,y,173
16,40.77,-73.8633,y,171
17,40.774,-73.8731,y,162
18,40.774,-73.8729,y,161
19,40.7738,-73.871,y,160
20,40.7512,-73.994,y,149
21,40.7738,-73.8708,y,146
22,40.7742,-73.8731,y,145
23,40.6447,-73.7818,y,142
24,40.7213,-73.8443,g,134
25,40.6447,-73.7821,y,132
26,40.7741,-73.8732,y,124
27,40.7689,-73.8627,y,123
28,40.7605,-74.0029,y,118
29,40.6448,-73.7818,y,118
30,40.6446,-73.7821,y,116
31,40.6454,-73.7768,y,116
32,40.77,-73.8634,y,115
33,40.7501,-73.9915,y,114
34,40.7513,-73.9941,y,110
35,40.6452,-73.7767,y,108
36,40.751,-73.9941,y,106
37,40.7604,-74.0029,y,106
38,40.7737,-73.871,y,105
39,40.7511,-73.994,y,104
40,40.6453,-73.7768,y,103
41,40.774,-73.8732,y,102
42,40.7605,-74.0028,y,101
43,40.751,-73.9942,y,98
44,40.75,-73.9915,y,97
45,40.6446,-73.7822,y,96
46,40.6452,-73.7768,y,96
47,40.769,-73.8627,y,94
48,40.7699,-73.8632,y,93
49,40.6446,-73.782,y,93
50,40.7699,-73.8633,y,91
51,40.7736,-73.8707,y,91
52,40.769,-73.8628,y,91
53,40.7737,-73.8707,y,91
54,40.7214,-73.8443,g,89
55,40.7688,-73.8628,y,89
56,40.7699,-73.8635,y,88
57,40.75,-73.9914,y,88
58,40.7698,-73.8634,y,87
59,40.6448,-73.7819,y,85
60,40.7513,-73.994,y,84
61,40.7698,-73.8635,y,84
62,40.7697,-73.8635,y,83
63,40.7688,-73.8627,y,83
64,40.75,-73.9916,y,83
65,40.7691,-73.8628,y,81
66,40.7697,-73.8636,y,80
67,40.7697,-73.8637,y,80
68,40.7699,-73.8634,y,80
69,40.7698,-73.8636,y,80
70,40.7742,-73.8728,y,79
71,40.6446,-73.7823,y,79
72,40.6451,-73.7768,y,79
73,40.7731,-73.8854,y,77
74,40.7791,-73.9623,y,76
75,40.7512,-73.9942,y,76
76,40.7741,-73.8728,y,75
77,40.7698,-73.8637,y,74
78,40.7505,-73.9946,y,72
79,40.7731,-73.8853,y,72
80,40.7739,-73.8729,y,70
81,40.7501,-73.9914,y,69
82,40.77,-73.8635,y,68
83,40.7698,-73.8638,y,68
84,40.774,-73.8728,y,68
85,40.7501,-73.9916,y,67
86,40.7502,-73.9915,y,66
87,40.7563,-73.9906,y,66
88,40.7738,-73.8711,y,65
89,40.7736,-73.8708,y,64
90,40.7689,-73.8628,y,64
91,40.7688,-73.8629,y,64
92,40.7499,-73.9915,y,64
93,40.7561,-73.9906,y,64
94,40.7696,-73.8636,y,61
95,40.7504,-73.9947,y,61
96,40.7024,-73.9868,g,60
97,40.7698,-73.8633,y,60
98,40.7499,-73.9916,y,58
99,40.7502,-73.9914,y,58
100,40.6446,-73.7819,y,58
101,40.7606,-74.0028,y,58
102,40.7699,-73.8637,y,57
103,40.7304,-73.8621,g,56
104,40.6446,-73.7824,y,56
105,40.6486,-73.7835,y,56
106,40.75,-73.9913,y,56
