,lat,long,trip_count
0,40.7024,-73.9868,26
1,40.7595,-73.8305,17
2,40.7595,-73.8304,16
3,40.7213,-73.8443,69
4,40.8051,-73.939,13
5,40.7667,-73.9214,15
6,40.77,-73.9175,20
7,40.7304,-73.8621,20
8,40.7666,-73.9214,14
9,40.7617,-73.9254,17
10,40.8053,-73.9395,13
11,40.7213,-73.8442,20
12,40.805,-73.9394,11
13,40.8053,-73.9392,21
14,40.7024,-73.9869,26
15,40.7214,-73.8443,49
16,40.8052,-73.9392,14
17,40.7654,-73.9138,11
18,40.5874,-73.9543,11
19,40.8054,-73.9391,27
20,40.5874,-73.9544,13
21,40.8051,-73.9391,14
22,40.8054,-73.9392,39
23,40.6839,-73.9788,18
24,40.7466,-73.8915,12
25,40.8054,-73.9393,15
26,40.7618,-73.9255,13
27,40.8055,-73.9392,27
28,40.6847,-73.9778,11
29,40.8044,-73.9376,11
30,40.6846,-73.9777,12
31,40.8342,-73.9449,12
32,40.7137,-73.8299,19
33,40.8052,-73.9391,18
34,40.7214,-73.8444,22
35,40.8051,-73.9393,11
36,40.8053,-73.9391,20
37,40.8055,-73.9391,15
38,40.8051,-73.9395,13
39,40.7618,-73.9254,16
40,40.8105,-73.9529,13
41,40.7304,-73.862,13
42,40.7667,-73.9217,15
43,40.7458,-73.9034,13
44,40.77,-73.9177,24
45,40.8106,-73.9528,18
46,40.8051,-73.9394,16
47,40.7667,-73.9216,13
48,40.7891,-73.9548,12
49,40.8045,-73.9376,11
50,40.7596,-73.8304,18
51,40.77,-73.9178,15
52,40.8056,-73.9392,11
53,40.8051,-73.9392,16
54,40.77,-73.9176,24
55,40.8053,-73.9393,11
56,40.7688,-73.9524,13
57,40.7795,-73.9555,15
58,40.7648,-73.9664,14
59,40.7331,-74.0,17
60,40.7561,-73.9906,40
61,40.7498,-73.9911,29
62,40.7652,-73.9977,28
63,40.7339,-74.0062,12
64,40.7796,-73.9558,20
65,40.7566,-73.9977,18
66,40.7513,-73.9905,12
67,40.731,-74.0015,14
68,40.757,-73.9902,20
69,40.7626,-73.9658,12
70,40.7552,-73.9729,11
71,40.7605,-74.0029,101
72,40.734,-73.9807,24
73,40.7371,-73.9844,11
74,40.7677,-73.9824,11
75,40.7392,-73.9871,12
76,40.7698,-73.9605,18
77,40.7544,-73.9658,23
78,40.7736,-73.9458,16
79,40.7312,-73.9826,14
80,40.7523,-73.9752,12
81,40.7161,-74.007,14
82,40.7547,-73.9775,13
83,40.7563,-73.9905,52
84,40.7797,-73.9534,12
85,40.7733,-73.946,12
86,40.7655,-73.9549,23
87,40.7571,-73.9902,15
88,40.7642,-73.9543,21
89,40.7219,-74.0043,11
90,40.6455,-73.7767,35
91,40.6453,-73.7767,124
92,40.7456,-73.9783,14
93,40.6448,-73.7819,62
94,40.7656,-73.9662,11
95,40.765,-73.9662,17
96,40.7471,-73.9934,13
97,40.7564,-73.9905,40
98,40.7672,-73.9625,26
99,40.7699,-73.8633,38
100,40.7511,-73.9942,124
101,40.7498,-73.991,22
102,40.7567,-73.9897,14
103,40.7076,-74.0044,15
104,40.771,-73.964,13
105,40.7434,-73.9769,12
106,40.7737,-73.8708,144
107,40.7381,-74.0082,15
108,40.7303,-73.9865,14
109,40.7502,-73.9912,20
110,40.7487,-73.9888,18
111,40.7699,-73.9514,20
112,40.7372,-73.9928,13
113,40.7571,-73.99,15
114,40.7699,-73.9516,24
115,40.7742,-73.8731,103
116,40.8003,-73.9696,11
117,40.7798,-73.9445,12
118,40.7742,-73.9513,16
119,40.7402,-73.982,11
120,40.7741,-73.8731,113
121,40.7417,-73.975,12
122,40.7446,-73.9761,14
123,40.7768,-73.9556,11
124,40.7501,-73.9918,29
125,40.7523,-73.9781,39
126,40.764,-73.9587,12
127,40.7403,-73.9822,14
128,40.7696,-73.9609,17
129,40.743,-73.9801,13
130,40.766,-73.9978,18
131,40.7783,-73.9483,13
132,40.743,-73.9928,12
133,40.7497,-73.9915,16
134,40.7151,-74.0159,24
135,40.7993,-73.9686,16
136,40.7801,-73.9552,17
137,40.7341,-73.9806,11
138,40.7523,-73.9751,14
139,40.7524,-73.9752,14
140,40.7652,-73.9753,18
141,40.7565,-73.9898,12
142,40.7573,-73.9667,14
143,40.775,-73.9588,11
144,40.6447,-73.7821,52
145,40.7677,-73.9532,12
146,40.7832,-73.9747,17
147,40.7742,-73.8729,59
148,40.7562,-73.9905,56
149,40.7421,-73.9808,21
150,40.7672,-73.9536,22
151,40.7381,-73.9962,11
152,40.7512,-73.994,131
153,40.7635,-73.9592,24
154,40.7497,-73.992,14
155,40.7501,-73.9916,67
156,40.7524,-73.9779,17
157,40.7565,-73.9977,19
158,40.6454,-73.7767,204
159,40.7322,-74.0078,19
160,40.7444,-73.9731,11
161,40.7499,-73.9918,28
162,40.7492,-73.9921,14
163,40.7722,-73.9499,26
164,40.7486,-73.9888,15
165,40.7465,-73.9716,12
166,40.7345,-73.9862,11
167,40.7483,-73.9806,12
168,40.7697,-73.8633,18
169,40.7361,-73.9852,14
170,40.7697,-73.9607,20
171,40.7883,-73.9709,14
172,40.7675,-73.9533,14
173,40.7817,-73.9603,11
174,40.7417,-73.9895,12
175,40.7567,-73.9899,27
176,40.6447,-73.7823,11
177,40.7806,-73.9527,15
178,40.7797,-73.9445,11
179,40.7761,-73.956,15
180,40.6452,-73.7768,40
181,40.7695,-73.8635,16
182,40.7325,-73.9914,11
183,40.7692,-73.9674,12
184,40.762,-73.9603,15
185,40.7785,-73.9818,16
186,40.7054,-74.0172,35
187,40.7339,-73.9868,12
188,40.7452,-73.9949,22
189,40.7736,-73.8707,36
190,40.7312,-74.0013,19
191,40.7677,-73.9622,31
192,40.7741,-73.9575,13
193,40.7835,-73.9478,16
194,40.7501,-73.9914,72
195,40.7152,-74.0161,12
196,40.7359,-73.9852,20
197,40.7373,-74.0006,13
198,40.7464,-73.9715,16
199,40.7741,-73.873,104
200,40.735,-74.0061,11
201,40.7508,-73.9908,39
202,40.7663,-73.987,16
203,40.771,-73.9537,13
204,40.7842,-73.9702,12
205,40.7434,-73.9799,15
206,40.7583,-73.9862,15
207,40.764,-73.9648,11
208,40.7564,-73.9979,16
209,40.7526,-73.978,14
210,40.7724,-73.963,13
211,40.7652,-73.964,17
212,40.7794,-73.9446,13
213,40.7848,-73.954,11
214,40.7209,-74.0052,11
215,40.7561,-73.9905,39
216,40.7699,-73.9607,12
217,40.715,-74.016,18
218,40.7624,-73.9659,19
219,40.7953,-73.9658,11
220,40.7755,-73.9565,15
221,40.7402,-73.9906,11
222,40.6451,-73.7767,15
223,40.7441,-73.9732,14
224,40.7736,-73.9518,11
225,40.7823,-73.9557,11
226,40.7934,-73.9672,18
227,40.7524,-73.9778,11
228,40.7477,-73.9787,13
229,40.7502,-73.9915,61
230,40.7114,-74.0102,12
231,40.77,-73.9516,14
232,40.7646,-73.9918,15
233,40.7565,-73.9906,16
234,40.7851,-73.9733,15
235,40.7356,-74.0018,14
236,40.796,-73.9616,13
237,40.7557,-73.9909,16
238,40.6454,-73.7769,16
239,40.7496,-73.9912,13
240,40.769,-73.9812,15
241,40.7387,-73.9958,19
242,40.7794,-73.9557,17
243,40.7502,-73.9914,68
244,40.7335,-73.9871,11
245,40.7664,-73.957,15
246,40.7523,-73.9756,26
247,40.7794,-73.9447,15
248,40.7502,-73.9911,14
249,40.7575,-73.967,12
250,40.7528,-73.9751,11
251,40.7419,-73.9749,16
252,40.7466,-73.9796,14
253,40.7699,-73.8636,24
254,40.734,-74.0062,11
255,40.7513,-73.994,68
256,40.7405,-73.979,11
257,40.7717,-73.9593,27
258,40.7742,-73.873,101
259,40.7716,-73.9594,13
260,40.7696,-73.8638,12
261,40.7684,-73.9823,18
262,40.7338,-73.9807,13
263,40.7642,-73.9921,14
264,40.7458,-73.972,12
265,40.776,-73.9473,16
266,40.7524,-73.978,35
267,40.7523,-73.9783,37
268,40.7738,-73.871,101
269,40.7641,-73.9542,14
270,40.7669,-73.9538,13
271,40.7495,-73.9909,14
272,40.7712,-73.9597,12
273,40.7561,-73.9904,42
274,40.7485,-73.9804,11
275,40.7488,-73.9887,13
