,lat,long,trip_count
0,40.7024,-73.9868,60
1,40.7453,-73.9035,21
2,40.7179,-73.9577,15
3,40.7213,-73.8443,134
4,40.7137,-73.8299,39
5,40.7468,-73.8908,13
6,40.7214,-73.8443,89
7,40.6839,-73.9788,40
8,40.841,-73.94,16
9,40.6896,-73.9925,20
10,40.7211,-73.8441,27
11,40.6895,-73.9925,29
12,40.7617,-73.9254,27
13,40.734,-73.8711,14
14,40.8053,-73.9393,15
15,40.7213,-73.8442,33
16,40.7304,-73.8621,56
17,40.7458,-73.9033,32
18,40.8051,-73.939,16
19,40.7666,-73.9213,17
20,40.7908,-73.9537,33
21,40.7137,-73.8302,25
22,40.7667,-73.9214,33
23,40.7023,-73.9868,13
24,40.7025,-73.9906,17
25,40.7465,-73.8908,23
26,40.7214,-73.8442,21
27,40.7137,-73.83,32
28,40.7351,-73.8742,27
29,40.8053,-73.9391,27
30,40.7667,-73.9216,17
31,40.7212,-73.8441,15
32,40.7024,-73.9869,39
33,40.6848,-73.9778,17
34,40.8406,-73.9403,26
35,40.6847,-73.9778,28
36,40.7454,-73.9034,20
37,40.7469,-73.891,18
38,40.8051,-73.9391,25
39,40.7899,-73.9523,32
40,40.77,-73.9176,36
41,40.7465,-73.891,18
42,40.7908,-73.9536,23
43,40.7329,-73.8638,13
44,40.7351,-73.8743,17
45,40.6848,-73.9779,17
46,40.7907,-73.9536,13
47,40.8054,-73.9391,34
48,40.7667,-73.9217,18
49,40.7024,-73.9867,18
50,40.8052,-73.9392,25
51,40.7466,-73.8915,25
52,40.7898,-73.9523,46
53,40.7892,-73.9548,13
54,40.8051,-73.9394,15
55,40.7591,-73.9189,18
56,40.7458,-73.9035,17
57,40.7457,-73.9034,14
58,40.7218,-73.958,25
59,40.6994,-73.8072,13
60,40.7179,-73.9576,40
61,40.747,-73.8911,17
62,40.8054,-73.962,13
63,40.6686,-73.9801,23
64,40.7214,-73.8444,51
65,40.8055,-73.9392,27
66,40.8052,-73.9391,25
67,40.7898,-73.9524,16
68,40.8082,-73.9639,13
69,40.7666,-73.9215,20
70,40.7465,-73.8909,38
71,40.8054,-73.9393,20
72,40.7618,-73.9254,35
73,40.734,-73.871,32
74,40.743,-73.9189,43
75,40.7595,-73.8304,22
76,40.7213,-73.8444,16
77,40.7752,-73.9121,17
78,40.7454,-73.9035,18
79,40.8051,-73.9392,14
80,40.7666,-73.9214,47
81,40.8053,-73.9392,31
82,40.8052,-73.9393,13
83,40.77,-73.9178,30
84,40.77,-73.9177,37
85,40.734,-73.8709,22
86,40.6894,-73.9925,16
87,40.7211,-73.8442,17
88,40.7215,-73.8443,14
89,40.8079,-73.9453,15
90,40.7457,-73.9033,13
91,40.7304,-73.862,28
92,40.7469,-73.8909,38
93,40.7328,-73.8638,19
94,40.6894,-73.9924,13
95,40.7467,-73.8915,20
96,40.7752,-73.912,16
97,40.7214,-73.8445,13
98,40.7668,-73.9216,13
99,40.8055,-73.9391,28
100,40.8054,-73.9392,29
101,40.8054,-73.939,16
102,40.77,-73.9175,14
103,40.8046,-73.9552,14
104,40.808,-73.9455,13
105,40.7891,-73.9548,13
106,40.8052,-73.939,13
107,40.7617,-73.9255,18
108,40.721,-73.8442,22
109,40.7893,-73.9548,15
110,40.7466,-73.891,17
111,40.7025,-73.9868,18
112,40.7025,-73.9869,22
113,40.7215,-73.8446,13
114,40.7617,-73.9253,16
115,40.7596,-73.8304,19
116,40.7026,-73.9906,18
117,40.7341,-73.8712,15
118,40.7137,-73.8298,13
119,40.7469,-73.8911,24
120,40.747,-73.891,13
121,40.7458,-73.9034,30
122,40.8045,-73.9376,13
123,40.7595,-73.8305,21
124,40.7004,-73.8077,13
125,40.743,-73.919,15
126,40.718,-73.9576,21
127,40.7178,-73.9578,13
128,40.7468,-73.891,16
129,40.6838,-73.976,13
130,40.7215,-73.8447,14
131,40.7305,-73.8618,13
132,40.7908,-73.9538,14
133,40.7469,-73.8907,16
134,40.7907,-73.9538,17
135,40.7594,-73.8304,19
136,40.7177,-73.9578,21
137,40.6804,-73.9494,14
138,40.7459,-73.9034,13
139,40.7469,-73.8908,29
140,40.7899,-73.9524,15
141,40.6685,-73.9801,21
142,40.7907,-73.9537,19
143,40.7468,-73.8909,16
144,40.7723,-73.9672,31
145,40.7733,-73.9492,15
146,40.7711,-73.9595,16
147,40.7502,-73.9916,53
148,40.7742,-73.8727,27
149,40.7803,-73.9595,13
150,40.7686,-73.9616,14
151,40.7501,-73.9915,114
152,40.7629,-73.9784,13
153,40.727,-74.0034,13
154,40.7401,-73.9866,15
155,40.6468,-73.79,26
156,40.774,-73.873,259
157,40.7741,-73.8733,54
158,40.7367,-73.9888,29
159,40.742,-73.9749,19
160,40.7736,-73.8709,34
161,40.77,-73.8633,171
162,40.7313,-73.9823,18
163,40.6454,-73.7768,116
164,40.7623,-73.9786,13
165,40.769,-73.8627,94
166,40.7741,-73.8729,210
167,40.7684,-73.9822,23
168,40.7559,-73.9909,19
169,40.7277,-73.9852,30
170,40.7719,-73.9675,13
171,40.756,-73.9908,32
172,40.759,-73.9727,15
173,40.7396,-74.0026,51
174,40.7697,-73.8635,83
175,40.6469,-73.7898,34
176,40.7373,-73.997,24
177,40.7695,-73.8638,22
178,40.7319,-74.001,14
179,40.6446,-73.7821,116
180,40.7512,-73.9941,310
181,40.7562,-73.9908,33
182,40.7882,-73.9765,14
183,40.7845,-73.9542,14
184,40.7543,-73.969,13
185,40.6447,-73.7819,228
186,40.7739,-73.8711,47
187,40.7499,-73.9935,18
188,40.7652,-73.9752,17
189,40.7333,-74.0063,21
190,40.7248,-73.9923,14
191,40.7512,-73.9942,76
192,40.7688,-73.8626,19
193,40.7645,-73.9584,21
194,40.7508,-73.9944,21
195,40.7697,-73.8638,49
196,40.7578,-73.9693,15
197,40.7845,-73.952,22
198,40.7643,-73.9732,13
199,40.8371,-73.917,27
200,40.756,-73.9902,21
201,40.7737,-73.871,105
202,40.733,-73.9999,25
203,40.7738,-73.8709,317
204,40.7595,-73.9653,13
205,40.7696,-73.8635,49
206,40.756,-73.9909,26
207,40.769,-73.8629,24
208,40.7562,-73.9907,48
209,40.77,-73.9668,16
210,40.7386,-73.9999,13
211,40.7618,-73.9864,14
212,40.7524,-73.9781,39
213,40.7744,-73.9575,15
214,40.7837,-73.9547,13
215,40.7501,-73.9917,46
216,40.7497,-73.9911,24
217,40.7813,-73.9542,17
218,40.7287,-74.0026,13
219,40.7422,-73.9934,20
220,40.6458,-73.7768,17
221,40.7459,-73.9781,16
222,40.7835,-73.9549,14
223,40.7813,-73.9797,13
224,40.7445,-74.0064,15
225,40.7197,-74.0086,19
226,40.6449,-73.7815,15
227,40.77,-73.8635,68
228,40.7403,-74.006,13
229,40.7737,-73.8707,91
230,40.7783,-73.9819,16
231,40.7366,-73.9888,20
232,40.7794,-73.9558,17
233,40.75,-73.9915,97
234,40.726,-73.9946,18
235,40.7476,-74.004,17
236,40.7646,-73.9728,17
237,40.7341,-73.9805,13
238,40.7499,-73.9916,58
239,40.6446,-73.782,93
240,40.7299,-74.002,19
241,40.757,-73.99,34
242,40.6447,-73.782,180
243,40.6446,-73.7822,96
244,40.7252,-73.9951,21
